date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:27:55	76380/76380	---M--	200	added ('OK')	text/html	date:Sun,%2009%20Jul%202017%2021:42:02%20GMT	http://webcotheme.com/html/streetwear/stw004/index.html	C:/Users/Admin/OneDrive/M%c3%a1y%20t%c3%adnh/New%20folder/web21/webcotheme.com/html/streetwear/stw004/index.html	(from )
09:27:56	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2007%20Nov%202021%2002:27:56%20GMT	http://webcotheme.com/robots.txt		(from )
09:27:56	28759/28759	---M--	200	added ('OK')	text/css	date:Sun,%2023%20Oct%202016%2020:29:36%20GMT	http://webcotheme.com/html/streetwear/stw004/css/font-awesome.min.css	C:/Users/Admin/OneDrive/M%c3%a1y%20t%c3%adnh/New%20folder/web21/webcotheme.com/html/streetwear/stw004/css/font-awesome.min.css	(from http://webcotheme.com/html/streetwear/stw004/index.html)
09:27:57	146010/146010	---M--	200	added ('OK')	text/css	date:Mon,%2025%20Jul%202016%2010:23:28%20GMT	http://webcotheme.com/html/streetwear/stw004/css/bootstrap.css	C:/Users/Admin/OneDrive/M%c3%a1y%20t%c3%adnh/New%20folder/web21/webcotheme.com/html/streetwear/stw004/css/bootstrap.css	(from http://webcotheme.com/html/streetwear/stw004/index.html)
09:27:59	36924/36924	---M--	200	added ('OK')	text/css	date:Thu,%2025%20May%202017%2018:50:40%20GMT	http://webcotheme.com/html/streetwear/stw004/css/jquery-ui.css	C:/Users/Admin/OneDrive/M%c3%a1y%20t%c3%adnh/New%20folder/web21/webcotheme.com/html/streetwear/stw004/css/jquery-ui.css	(from http://webcotheme.com/html/streetwear/stw004/index.html)
09:28:00	1476/1476	---M--	200	added ('OK')	text/css	date:Mon,%2012%20May%202014%2005:56:20%20GMT	http://webcotheme.com/html/streetwear/stw004/css/owl.carousel.css	C:/Users/Admin/OneDrive/M%c3%a1y%20t%c3%adnh/New%20folder/web21/webcotheme.com/html/streetwear/stw004/css/owl.carousel.css	(from http://webcotheme.com/html/streetwear/stw004/index.html)
09:28:00	15141/15141	---M--	200	added ('OK')	text/css	date:Thu,%2009%20Apr%202015%2017:07:24%20GMT	http://webcotheme.com/html/streetwear/stw004/css/fotorama.css	C:/Users/Admin/OneDrive/M%c3%a1y%20t%c3%adnh/New%20folder/web21/webcotheme.com/html/streetwear/stw004/css/fotorama.css	(from http://webcotheme.com/html/streetwear/stw004/index.html)
09:28:01	7443/7443	---M--	200	added ('OK')	text/css	date:Wed,%2023%20Mar%202016%2006:03:36%20GMT	http://webcotheme.com/html/streetwear/stw004/css/magnific-popup.css	C:/Users/Admin/OneDrive/M%c3%a1y%20t%c3%adnh/New%20folder/web21/webcotheme.com/html/streetwear/stw004/css/magnific-popup.css	(from http://webcotheme.com/html/streetwear/stw004/index.html)
09:28:03	87784/87784	---M--	200	added ('OK')	text/css	date:Sun,%2009%20Jul%202017%2021:43:58%20GMT	http://webcotheme.com/html/streetwear/stw004/css/custom.css	C:/Users/Admin/OneDrive/M%c3%a1y%20t%c3%adnh/New%20folder/web21/webcotheme.com/html/streetwear/stw004/css/custom.css	(from http://webcotheme.com/html/streetwear/stw004/index.html)
09:28:04	40269/40269	---M--	200	added ('OK')	text/css	date:Fri,%2007%20Jul%202017%2003:00:26%20GMT	http://webcotheme.com/html/streetwear/stw004/css/responsive.css	C:/Users/Admin/OneDrive/M%c3%a1y%20t%c3%adnh/New%20folder/web21/webcotheme.com/html/streetwear/stw004/css/responsive.css	(from http://webcotheme.com/html/streetwear/stw004/index.html)
